time,DOC,Cmic,r
0.0,305.6,0.0,0.0
0.0,306.6,0.0,0.0
0.0,314.1,0.0,0.0
0.0,315.2,0.0,0.0
0.0,333.5,0.0,
8.0,174.3,45.3,2.5
8.0,174.4,45.2,2.8
8.0,178.1,43.3,2.5
8.0,181.3,44.0,2.4
8.0,186.6,43.1,
16.0,97.2,51.9,2.5
16.0,97.7,54.9,3.0
16.0,99.7,54.3,2.9
16.0,101.4,52.9,2.5
16.0,103.5,60.0,
24.0,30.2,56.9,2.2
24.0,30.4,57.6,3.1
24.0,32.9,57.8,2.7
24.0,33.2,57.7,3.3
24.0,33.8,59.4,
48.0,4.8,51.4,0.4
48.0,4.9,53.2,0.5
48.0,5.0,53.5,0.7
48.0,5.1,54.0,0.6
48.0,5.6,53.9,
72.0,3.8,48.8,0.2
72.0,3.8,49.0,0.2
72.0,4.1,50.5,0.2
72.0,4.3,50.3,0.2
72.0,4.4,50.3,
